State/UT-wise,Sum of total in 3 years
Uttar Pradesh,11427
Tamil Nadu,4008
Odisha,3821
Andhra Pradesh,3536
Madhya Pradesh,2972
Jharkhand,2004
Punjab,1531
Maharashtra,1309
Assam,1029
Haryana,953
Rajasthan,829
Delhi,672
Himachal Pradesh,611
Telangana,591
Karnataka,440
Chhattisgarh,436
Kerala,394
Nagaland,372
Meghalaya,272
Gujarat,218
Manipur,199
Arunachal Pradesh,120
West Bengal,103
Uttarakhand,101
Andaman & Nicobar Islands,74
Tripura,58
Sikkim,53
Mizoram,49
Jammu & Kashmir,46
Chandigarh,30
Goa,25
Puducherry,25
Daman & Diu,24
Bihar,10
Dadra & Nagar Haveli,3
Lakshadweep,0
Grand Total,38345
